name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Snack A Base De Papa,CEREALES Y HARINAS,508.0,5.8,56.0,28.0,4.0,2.4,572.0,44
Mermelada De Membrillo,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,65.0,0.0,42
Pan Sandwich,MASAS Y PANADERÍA,245.0,7.0,48.0,2.6,2.0,0.0,388.8,42
Salsa A Base De Soja,SALSAS Y ADEREZOS,76.7,6.7,12.0,0.0,0.0,9.3,6480.0,42
Dulce De Leche,LÁCTEOS,320.0,6.5,55.0,7.0,0.0,55.0,120.0,39
Confitura De Frambuesa,CONFITURAS Y DULCES,222.5,0.5,55.0,0.0,3.0,50.0,0.0,38
Puré De Tomates,VEGETALES Y FRUTAS,29.2,1.3,5.8,0.0,1.0,4.2,36.7,38
Masa Para Pizzas,MASAS Y PANADERÍA,321.2,8.2,62.5,4.0,2.8,0.0,455.0,38
Chocolate Blanco,CACAO Y CHOCOLATE,564.0,8.0,56.0,35.6,1.0,54.0,108.0,36
Lentejas,VEGETALES Y FRUTAS,333.3,21.7,60.0,1.0,10.7,2.0,12.0,35
Pan Dulce,MASAS Y PANADERÍA,332.5,6.8,53.8,8.9,1.9,21.2,150.0,35
Dulce De Sauco,CONFITURAS Y DULCES,247.5,0.0,62.9,0.0,3.0,60.0,0.0,34
Tapa Para Empanadas,PASTAS,323.3,6.7,46.7,10.0,2.0,0.0,262.9,33
Dulce De Frambuesa,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,1.5,65.0,0.0,33
Puré De Tomate,VEGETALES Y FRUTAS,28.3,1.3,5.2,0.0,1.0,4.2,36.7,32
Confitura De Frutilla,CONFITURAS Y DULCES,225.0,0.0,55.0,0.0,1.0,55.0,0.0,32
Aceitunas Negras En Salmuera,VEGETALES Y FRUTAS,165.0,0.0,3.5,15.0,3.8,2.0,1490.0,31
Miel De Abeja,CONFITURAS Y DULCES,325.0,0.4,80.5,0.0,0.0,80.0,4.0,31
Dulce De Frutilla,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,0.0,65.0,0.0,31
Tapas Para Pascualina,MASAS Y PANADERÍA,340.0,6.7,50.0,11.0,2.0,0.0,400.0,30
Mermelada De Naranja,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,3.0,60.0,0.0,30
Tomates Pelados Perita Enteros Comunes,VEGETALES Y FRUTAS,19.6,1.0,3.5,0.0,0.9,2.8,14.6,30
Salsa Barbacoa,SALSAS Y ADEREZOS,132.1,0.0,31.2,0.0,0.8,25.0,1018.3,30
Mermelada De Tomate,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,1.0,60.0,3.0,29
Snack A Base De Papa Sabor Crema Y Cebolla,CEREALES Y HARINAS,504.0,5.6,56.0,28.4,5.2,2.4,652.0,29
Aceitunas Negras Tipo Griego,VEGETALES Y FRUTAS,400.0,2.5,19.5,29.5,8.8,1.5,2190.0,29
Jalea De Membrillo,CONFITURAS Y DULCES,280.0,0.0,70.0,0.0,0.5,51.0,0.0,28
Azúcar Común Tipo A,AZÚCARES Y EDULCORANTES,400.0,0.0,100.0,0.0,0.0,100.0,0.0,28
Chupetin De Goma Fantasia Sabor A Vainilla,CARAMELOS Y GOLOSINAS,342.1,2.6,82.7,0.0,0.0,66.7,40.0,28
Mermelada De Frambuesa,CONFITURAS Y DULCES,237.5,0.0,60.0,0.0,3.0,60.0,0.0,28
Salame,CARNES Y CHACINADOS,320.0,19.8,3.5,24.5,0.0,0.0,1120.0,27
Fecula De Mandioca,CEREALES Y HARINAS,340.0,0.8,85.0,0.0,0.0,0.0,0.0,26
Garbanzos,VEGETALES Y FRUTAS,338.3,20.0,59.2,6.0,12.2,10.7,23.3,26
Mermelada De Higo,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,2.0,60.0,0.0,26
Helado De Agua Sabor Frutilla,HELADOS,93.3,0.0,23.3,0.0,0.0,20.0,0.0,26
Helado De Leche Sabor Vainilla,HELADOS,138.3,3.3,23.3,3.6,0.0,21.7,46.4,26
Ananás En Rodajas Comunes,VEGETALES Y FRUTAS,83.9,0.0,20.4,0.0,0.7,18.6,0.0,26
Champiñones Enteros,HONGOS,23.0,2.2,3.0,0.5,1.6,0.0,300.0,26
Champiñones En Trozos,HONGOS,24.0,2.0,3.0,0.3,1.6,0.0,315.0,26
Chocolates Surtidos,CACAO Y CHOCOLATE,537.7,8.0,52.0,32.4,2.8,46.0,100.0,26
Miel De Abejas,CONFITURAS Y DULCES,330.0,0.3,80.0,0.0,0.0,80.0,0.0,26
Dulce De Rosa Mosqueta,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,2.8,55.0,0.0,26
Higos En Almibar,CONFITURAS Y DULCES,260.0,0.2,65.0,0.0,2.0,57.5,0.0,25
Aderezo A Base De Aceitunas Verdes,SALSAS Y ADEREZOS,175.0,0.0,5.8,16.7,0.0,0.0,1183.3,25
Corazones De Alcauciles En Conserva,VEGETALES Y FRUTAS,26.0,2.4,2.6,0.0,1.6,1.8,370.0,25
Pan Con Grasa,MASAS Y PANADERÍA,300.0,6.2,50.0,6.7,1.8,3.8,464.0,25
Prepizza,MASAS Y PANADERÍA,246.7,6.5,45.0,5.2,2.0,0.0,396.7,25
Aceto Balsamico,VINAGRES,117.7,0.0,24.5,0.0,0.0,23.1,15.6,24
Queso Graso De Mediana Humedad,QUESOS,368.3,25.2,0.0,29.7,0.0,0.7,742.4,24
Pizza Con Salsa De Tomate,MASAS Y PANADERÍA,255.0,6.9,47.6,3.2,2.2,0.8,505.0,24
Mermelada De Pera,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,65.0,0.0,24
Helado De Leche Sabor Frutilla,HELADOS,147.1,3.3,25.0,3.5,0.0,21.7,50.0,23
Grisines,MASAS Y PANADERÍA,363.3,8.7,65.0,8.2,2.7,1.2,436.7,23
Bondiola,CARNES Y CHACINADOS,301.0,22.5,1.8,22.5,0.0,0.0,1657.5,23
Galletitas Saladas,GALLETITAS Y BARRAS,440.0,10.0,66.7,15.3,2.7,7.9,680.0,23
Snack A Base De Papa Sabor Queso Cheddar,CEREALES Y HARINAS,504.0,6.4,56.0,26.8,5.6,2.8,716.0,23
