name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Manies Garrapiñados,VEGETALES Y FRUTAS,559.7,21.5,34.5,39.6,6.2,48.0,335.7,12
Helado De Agua De Limon,HELADOS,118.9,0.3,30.8,0.3,0.6,26.7,0.0,12
Aceite Comestible Mezcla,ACEITES Y GRASAS,830.8,0.0,0.0,92.3,0.0,0.0,0.0,12
Garbanzo,VEGETALES Y FRUTAS,336.7,20.0,49.2,5.8,15.4,0.0,11.7,12
Azucar Blanco Refinado,AZÚCARES Y EDULCORANTES,400.0,0.0,100.0,0.0,0.0,100.0,0.0,12
Helado De Crema De Frutilla,HELADOS,165.8,2.9,22.5,6.7,0.5,20.5,45.8,12
Mezcla De Frutos Secos,VEGETALES Y FRUTAS,568.0,16.8,19.0,49.5,7.0,12.7,5.0,12
Dulce De Leche Repostero,CONFITURAS Y DULCES,320.0,7.5,55.0,7.2,0.0,55.0,120.0,12
Aderezo A Base De Vinagre De Vino Con Mosto De Uva,SALSAS Y ADEREZOS,125.0,0.0,29.3,0.0,0.0,23.1,83.3,12
Aceitunas Negras Tipo Griego En Aceite De Girasol,VEGETALES Y FRUTAS,330.0,2.5,43.5,17.5,3.5,3.0,1765.0,11
Porotos Colorados,VEGETALES Y FRUTAS,333.3,20.0,61.0,1.2,15.2,2.2,0.0,11
Granos De Choclo Amarillos Enteros,VEGETALES Y FRUTAS,73.1,2.4,13.1,1.4,2.4,3.5,213.8,11
Aceitunas Negras Descarozadas En Salmuera,VEGETALES Y FRUTAS,190.0,0.0,4.2,14.0,3.0,9.8,1635.0,11
Semillas De Lino,SEMILLAS Y FRUTOS SECOS,460.0,18.0,28.7,34.7,26.0,0.0,0.0,11
Tapas Para Pastelitos,MASAS Y PANADERÍA,323.3,6.7,56.7,9.0,1.7,0.0,373.3,11
Pan De Sandwich Con Salvado,MASAS Y PANADERÍA,334.0,9.0,68.0,3.2,4.4,0.0,292.0,11
Pan Francés,MASAS Y PANADERÍA,282.0,8.0,60.0,1.3,1.8,0.0,406.0,11
Alimento Para Propositos Medicos Especificos En Polvo,SUPLEMENTOS Y DIETÉTICOS,304.0,13.5,16.0,4.6,0.0,4.2,169.0,11
Chocolate Semiamargo Con Leche,CACAO Y CHOCOLATE,544.0,7.2,55.0,32.8,2.4,51.5,100.0,11
Aceto Balsámico,VINAGRES,98.0,0.0,19.0,0.0,0.0,20.0,45.3,11
Ginger Ale,BEBIDAS ANALCOHÓLICAS,34.0,0.0,8.5,0.0,0.0,8.3,0.0,11
Almidon De Maiz,CEREALES Y HARINAS,360.0,0.0,90.0,0.0,0.2,0.0,0.0,11
Duraznos Amarillos En Mitades Comunes Dieteticos Bajas Calorias,SUPLEMENTOS Y DIETÉTICOS,27.1,0.5,6.0,0.0,0.6,4.5,11.4,11
Mermelada De Mora,CONFITURAS Y DULCES,215.0,0.0,55.0,0.0,3.0,51.2,0.0,11
Pescado Congelado De Cultivo,CONSERVAS DE PESCADO Y MAR,216.7,18.3,2.2,15.0,,,53.3,11
Salchicha Fresca,CARNES Y CHACINADOS,254.0,17.0,0.6,20.0,0.1,0.0,668.0,11
Salamin,CARNES Y CHACINADOS,362.5,20.0,3.0,27.5,1.5,0.0,1125.0,11
Helado De Agua De Frambuesa,HELADOS,113.3,0.2,28.3,0.2,1.1,25.0,1.4,11
Confitura De Guinda,CONFITURAS Y DULCES,240.0,1.0,60.0,0.0,1.2,60.0,0.0,11
Dulce De Arandano,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,0.0,65.0,0.0,11
Embutido Fresco De Pollo,CARNES Y CHACINADOS,384.0,8.4,3.6,20.0,,,396.0,11
Mermelada De Alcayota,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,1.5,65.0,0.0,11
Aderezo A Base De Vinagre De Vino Con Mosto De Uva Concentrado,SALSAS Y ADEREZOS,275.0,,67.5,,,66.7,54.2,11
Pastillas De Goma Fantasia Sabor A Frutilla,CARAMELOS Y GOLOSINAS,324.2,4.2,75.0,0.0,0.0,51.7,35.0,10
Chimichurri,SALSAS Y ADEREZOS,160.0,1.2,6.7,14.0,0.0,1.1,646.7,10
Cebollitas En Vinagre De Alcohol,VEGETALES Y FRUTAS,20.0,0.0,3.6,0.0,1.7,4.3,754.0,10
Mermelada De Arandano,CONFITURAS Y DULCES,250.0,,60.0,,2.0,60.0,0.0,10
Semillas De Chia,SEMILLAS Y FRUTOS SECOS,501.7,16.7,41.0,30.7,34.7,0.0,0.0,10
Aceite De Girasol,ACEITES Y GRASAS,830.8,0.0,0.0,92.3,0.0,0.0,0.0,10
Chipa Crudo Congelado,MASAS Y PANADERÍA,306.0,7.1,44.0,10.5,0.0,0.7,801.0,10
Alfajor Relleno De Dulce De Leche Con Baño De Repostería Semiamargo,GALLETITAS Y BARRAS,420.0,5.9,58.8,18.1,2.2,38.3,110.0,10
Tostadas Dulces,MASAS Y PANADERÍA,355.0,7.7,66.7,6.0,2.3,10.3,10.0,10
Helado De Leche Sabor Banana,HELADOS,134.2,2.9,23.3,3.6,,20.8,41.7,10
Queso De Cerdo,CARNES Y CHACINADOS,282.5,16.4,8.8,18.0,0.2,0.0,714.5,10
Panettone,MASAS Y PANADERÍA,347.5,6.5,51.9,12.7,2.2,21.9,154.4,10
Pastillas De Goma Fantasía Sabores Surtidos,CARAMELOS Y GOLOSINAS,320.0,6.8,72.9,0.0,0.0,50.0,30.0,10
"Alimento Para Propósitos Médicos Específicos, Líquido",SUPLEMENTOS Y DIETÉTICOS,148.5,9.6,12.5,6.7,1.5,5.8,58.8,10
Espinaca Supercongelada,VEGETALES Y FRUTAS,23.4,2.8,1.6,0.7,2.7,0.7,74.0,10
"Comida Preparada A Base De Palmitos, Vegetales Y Especias, En Conserva",COMIDAS PREPARADAS,104.0,3.1,11.0,5.3,1.9,1.6,420.0,10
Manteca Extra Sin Sal,ACEITES Y GRASAS,760.0,,,84.0,,0.0,0.0,10
Chupetin De Caramelo Duro Sabor A Frutilla,CARAMELOS Y GOLOSINAS,397.9,0.0,93.1,0.0,0.0,63.6,0.0,10
Queso Cheddar,QUESOS,403.0,25.0,3.0,33.3,0.0,0.8,656.4,10
Snack Sabor A Queso,CEREALES Y HARINAS,482.8,7.6,65.5,21.6,2.0,9.1,524.1,10
Harina De Maiz Para Preparar Polenta,CEREALES Y HARINAS,347.0,7.3,75.3,1.8,4.1,0.0,6.2,10
Chocolate Amargo Con Almendras,CACAO Y CHOCOLATE,564.0,12.0,38.8,40.0,9.5,24.0,4.0,10
Arroz Blanco Tipo Largo Fino Calidad 00000,CEREALES Y HARINAS,348.0,7.0,79.5,0.3,1.8,0.0,0.0,10
Queso Cheddar En Fetas,QUESOS,396.0,23.8,,32.0,0.0,,608.0,10
Queso Muzzarella,QUESOS,356.7,26.3,2.7,26.0,0.0,0.0,503.3,10
Coctel De Cinco Frutas Grado Comun En Jarabe Diluido,VEGETALES Y FRUTAS,62.9,0.4,15.0,0.0,1.1,12.9,5.0,10
"Salsa Agridulce A Base De Tomate, Vinagre De Alcohol Y Especias Con Sabor A Humo",SALSAS Y ADEREZOS,166.7,0.8,39.6,,0.8,33.3,975.0,10
Milanesa De Pollo,CARNES Y CHACINADOS,162.7,16.7,19.2,3.0,0.6,0.0,580.0,10
Lenteja,VEGETALES Y FRUTAS,290.8,23.3,49.2,1.0,16.2,0.0,12.1,10
Trigo Pelado,CEREALES Y HARINAS,332.0,12.0,68.0,1.6,6.4,0.0,0.0,10
Maiz,CEREALES Y HARINAS,358.0,8.2,74.0,4.1,4.9,0.0,0.0,10
Dulce De Batata,CONFITURAS Y DULCES,251.2,0.0,60.0,0.0,1.8,40.0,10.0,10
Alfajor Relleno De Dulce De Leche Con Cobertura De Chocolate Blanco,ALFAJORES,408.1,6.2,58.3,15.0,1.5,35.0,123.3,10
Helado De Dulce De Leche,HELADOS,199.2,4.7,27.3,5.2,0.0,34.2,103.3,10
Mermelada De Sauco,CONFITURAS Y DULCES,215.0,0.0,55.0,0.0,3.0,55.0,0.0,10
Alfajor Relleno De Dulce De Leche Con Cobertura De Chocolate Semiamargo,GALLETITAS Y BARRAS,392.0,6.4,56.7,15.5,1.6,43.3,146.2,10
Dulce De Guinda,CONFITURAS Y DULCES,255.0,0.0,65.0,0.0,0.0,62.5,0.0,10
Pan De Molde Con Salvado,MASAS Y PANADERÍA,310.0,8.0,54.0,3.9,4.6,4.4,326.0,10
Harina De Trigo 000,CEREALES Y HARINAS,349.4,11.8,72.0,1.3,3.5,,1.1,10
Queso Criollo,QUESOS,341.7,23.7,3.3,27.0,0.0,3.3,475.0,10
Mermelada De Uva,CONFITURAS Y DULCES,267.5,0.0,65.0,0.0,1.0,65.0,0.0,10
Pan De Hamburguesa,MASAS Y PANADERÍA,322.0,8.8,56.0,4.7,3.4,7.2,383.0,10
Dulce De Manzana,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,0.8,61.0,0.0,9
"Alfajor Relleno Con Dulce De Leche, Cubierto Con Baño De Reposteria Semiamargo",GALLETITAS Y BARRAS,376.3,5.5,58.5,13.2,1.9,50.0,104.6,9
Cafe Tostado Molido,CAFÉ Y SUCEDÁNEOS,285.7,10.4,28.6,15.4,,,74.0,9
Pastas Frescas - Ñoquis,PASTAS,163.0,5.0,36.0,0.9,1.8,0.1,350.0,9
Snacks Galletas,GALLETITAS Y BARRAS,442.9,10.0,70.0,12.5,3.3,9.3,680.0,9
Arroz Aromatico,CEREALES Y HARINAS,350.0,7.2,80.0,0.2,2.4,0.0,0.0,9
Jugo De Naranja Pasteurizado,JUGOS,46.5,1.0,11.0,0.0,0.0,8.5,0.0,9
Arroz Blanco Tipo Largo Fino Calidad 0000,CEREALES Y HARINAS,346.0,6.8,79.0,38.9,1.7,1.0,0.0,9
Pastillas De Goma Fantasía Sabor Frutilla,CARAMELOS Y GOLOSINAS,280.0,5.0,65.0,0.0,0.0,60.6,10.0,9
Leche Condensada Azucarada,LÁCTEOS,325.0,7.0,55.0,8.0,0.0,55.0,130.0,9
Alimento Para Propósitos Médicos Específicos En Polvo Para Lactantes,SUPLEMENTOS Y DIETÉTICOS,76.0,1.9,8.0,4.0,0.7,3.8,39.0,9
Conserva De Palmitos,VEGETALES Y FRUTAS,20.0,2.0,5.0,0.0,3.0,0.0,110.0,9
Turron Duro De Almendras,CARAMELOS Y GOLOSINAS,536.0,15.0,43.0,33.0,6.2,37.8,25.0,9
Chupetines De Caramelo Duro Ácido Sabores Surtidos,CARAMELOS Y GOLOSINAS,409.1,0.0,100.0,0.0,0.0,72.7,45.5,9
Queso Procesado Sabor Cheddar En Fetas,QUESOS,277.8,14.4,9.3,21.5,0.0,4.7,1551.8,9
"Snacks A Base De Papa, Con Aceite Vegetal Y Harina De Cereales",CEREALES Y HARINAS,524.3,4.0,56.0,32.4,2.8,0.5,429.3,9
Confitura De Cassis,CONFITURAS Y DULCES,220.0,1.0,55.0,0.5,0.0,54.5,0.0,9
Croquetas A Base De Papas Prefritas Supercongeladas,VEGETALES Y FRUTAS,168.0,2.6,22.4,8.1,2.5,1.1,340.0,9
Suplemento Dietario En Polvo Dietetico Para Preparar Bebida A Base De Proteínas,SUPLEMENTOS Y DIETÉTICOS,400.0,71.0,12.9,5.6,3.0,,266.7,9
Confitura De Grosella,CONFITURAS Y DULCES,240.0,0.8,60.0,0.0,2.5,60.0,0.0,9
Harina De Trigo Tipo 000,CEREALES Y HARINAS,350.0,10.0,74.0,1.5,2.8,1.4,4.4,9
Trigo Partido,CEREALES Y HARINAS,344.0,11.8,70.0,1.6,7.8,0.0,0.0,9
Helado De Agua De Naranja,HELADOS,100.0,1.0,25.0,0.0,,23.3,0.0,9
Helado De Agua De Limón,HELADOS,120.0,0.2,30.0,0.2,0.0,31.7,0.0,9
Poroto Mung,VEGETALES Y FRUTAS,346.7,23.3,63.0,1.2,16.3,6.5,15.0,9
Yerba Mate Elaborada Con Palo Con Bajo Contenido De Polvo,TÉ E INFUSIONES,88.0,1.6,19.6,,1.2,6.2,14.0,9
Longaniza,CARNES Y CHACINADOS,392.5,17.0,4.4,35.0,0.0,0.0,1070.0,9
Mermelada De Frutillas,CONFITURAS Y DULCES,250.0,0.0,65.0,0.0,0.0,62.5,0.0,9
Chocolate Blanco Con Almendras,CACAO Y CHOCOLATE,556.0,10.0,44.0,36.0,2.0,44.0,92.0,9
Poroto Pallar,VEGETALES Y FRUTAS,308.3,21.7,50.0,1.7,15.2,1.0,16.7,9
Comidas Preparadas Congeladas,COMIDAS PREPARADAS,192.0,5.7,21.3,8.3,1.0,,347.7,9
Pizza Con Tomate,MASAS Y PANADERÍA,270.0,7.5,50.0,5.0,2.5,0.0,495.0,9
Mermelada De Ciruela Reducida En Calorias,CONFITURAS Y DULCES,140.0,0.0,35.0,0.0,0.0,26.0,0.0,9
Mermelada De Durazno Reducida En Calorias,CONFITURAS Y DULCES,135.0,0.0,34.0,0.0,0.0,25.0,0.0,9
Mermelada De Frutilla Reducida En Calorias,CONFITURAS Y DULCES,125.0,0.0,30.5,0.0,0.0,25.0,0.0,9
Confitura De Calafate,CONFITURAS Y DULCES,230.0,1.5,60.0,0.0,1.5,60.0,0.0,9
Helado De Crema Americana,HELADOS,186.7,3.7,25.0,8.8,0.1,16.7,52.7,9
Dulce De Grosella,CONFITURAS Y DULCES,260.0,0.0,65.0,0.0,0.0,65.0,0.0,9
Queso Pategrás,QUESOS,363.3,26.0,1.5,29.0,0.0,1.2,490.0,9
Queso Por Salut,QUESOS,313.3,22.0,1.0,25.0,0.0,1.0,393.3,9
Pasas De Uva En Grano Sin Semilla Grado Elegido,VEGETALES Y FRUTAS,330.0,0.0,80.0,0.0,3.3,50.0,43.3,9
Duraznos Amarillos En Mitades Comunes Dietéticos Bajas Calorías,SUPLEMENTOS Y DIETÉTICOS,25.0,0.6,5.7,,0.6,4.7,10.7,9
Alfajores Surtidos,GALLETITAS Y BARRAS,395.7,6.0,55.4,16.9,1.8,38.3,88.3,9
Pastas Frescas - Fideos Tallarines Al Huevo,PASTAS,303.0,9.4,60.0,2.8,2.2,0.0,347.0,9
Aceite De Oliva Virgen Extra A Granel,ACEITES Y GRASAS,865.4,0.0,0.0,100.0,0.0,0.0,0.0,8
Pastillas De Goma Fantasía Sabor A Frutilla,CARAMELOS Y GOLOSINAS,319.9,5.9,76.9,,,50.0,55.1,8
Mermelada De Arándanos,CONFITURAS Y DULCES,225.0,0.2,55.0,0.0,3.0,55.0,0.0,8
Arroz Pulido Tipo Largo Fino Calidad 0000,CEREALES Y HARINAS,346.0,6.4,80.0,0.0,1.7,3.0,0.0,8
Helado De Agua Sabor Anana,HELADOS,88.4,0.5,22.1,0.5,,20.0,0.0,8
Pan De Sándwich,MASAS Y PANADERÍA,239.2,7.5,52.0,1.5,0.0,1.0,590.0,8
Chorizo A La Española,CARNES Y CHACINADOS,362.5,19.0,3.8,24.8,2.8,0.0,970.0,8
Mortadela,SIN CATEGORÍA,301.2,15.0,5.0,21.5,0.0,0.0,895.0,8
Jamón Crudo,CARNES Y CHACINADOS,217.5,24.8,3.8,11.1,0.0,0.0,2841.2,8
Agua Tonica,BEBIDAS ANALCOHÓLICAS,36.0,0.0,8.7,0.0,0.0,8.5,0.0,8
Cafe Tostado En Grano,CAFÉ Y SUCEDÁNEOS,335.9,10.4,42.8,13.7,9.7,0.0,74.0,8
Snacks A Base De Papa,VEGETALES Y FRUTAS,528.0,6.0,54.0,31.0,4.0,0.8,380.0,8
Queso De Leche De Oveja Graso De Baja Humedad,QUESOS,433.3,24.7,1.7,36.7,,1.0,715.0,8
Agua De Coco,VEGETALES Y FRUTAS,20.0,0.0,5.0,0.0,0.0,4.2,20.0,8
Arvejas Secas Remojadas Y Granos De Choclo Amarillo Enteros,VEGETALES Y FRUTAS,65.4,4.4,10.0,0.9,4.8,3.5,191.5,8
Concentrado Doble De Tomate,VEGETALES Y FRUTAS,56.7,3.7,10.3,,3.3,13.3,13.3,8
Acelga Supercongelada,VEGETALES Y FRUTAS,26.0,1.8,3.5,0.0,2.4,0.6,210.0,8
Pastillas Confitadas Sabores Surtidos,CARAMELOS Y GOLOSINAS,377.5,0.0,92.8,0.0,0.0,91.5,0.0,8
Alcaparras,VEGETALES Y FRUTAS,26.7,0.7,2.0,0.0,4.0,2.0,2673.3,8
Queso Parmesano,QUESOS,401.7,32.2,,30.5,,1.0,605.0,8
Queso Emmenthal,QUESOS,375.0,27.3,1.2,29.5,3.3,0.0,240.0,8
Galletitas Dulces Sabor Chocolate,GALLETITAS Y BARRAS,446.7,8.2,71.7,14.3,3.7,22.3,211.7,8
Queso Semigraso De Mediana Humedad,QUESOS,376.7,27.2,1.8,28.0,0.0,,536.7,8
Salsa A Base De Tomate Y Especias,SALSAS Y ADEREZOS,60.0,1.3,7.9,3.1,1.7,5.0,379.2,8
Galletitas Dulces Surtidas,GALLETITAS Y BARRAS,506.9,5.5,63.3,24.8,2.3,23.0,130.2,8
Caldo De Verduras Deshidratado,CALDOS Y SOPAS,316.5,0.0,47.3,23.2,0.0,10.1,13645.4,8
Mezcla De Arvejas Secas Remojadas Y Granos De Choclo Amarillo Enteros,VEGETALES Y FRUTAS,86.2,5.4,12.3,1.3,3.9,1.7,73.8,8
Pasta De Aceitunas Verdes,VEGETALES Y FRUTAS,210.0,1.5,4.0,21.5,3.0,0.5,1245.0,8
Agua Tónica,BEBIDAS ANALCOHÓLICAS,35.0,0.0,8.2,0.0,0.0,7.5,0.0,8
Duraznos Amarillos En Mitades Comunes En Jarabe Concentrado,VEGETALES Y FRUTAS,81.4,0.5,19.4,0.0,1.0,17.9,17.9,8
Crema De Leche Uat,LÁCTEOS,320.0,,4.0,35.3,,0.0,0.0,8
Chocolate Con Leche Con Avellanas,CACAO Y CHOCOLATE,560.0,9.2,48.0,37.2,3.8,44.0,70.0,8
Queso Brie,QUESOS,310.0,19.5,0.0,25.8,0.0,0.3,610.0,8
Pan Con Semillas,MASAS Y PANADERÍA,314.0,9.7,54.0,5.8,3.6,0.0,298.0,8
Fideos Secos Semolados,PASTAS,350.0,11.9,71.2,0.8,3.6,2.4,9.8,8
Chocolate Con Leche Y Chocolate Blanco,CACAO Y CHOCOLATE,556.0,7.3,56.0,33.3,0.8,56.0,96.7,8
Bizcochuelo,MASAS Y PANADERÍA,310.8,8.2,60.0,2.7,1.6,35.0,303.3,8
Pan Lacteado Con Salvado,MASAS Y PANADERÍA,241.0,7.2,44.0,3.6,3.0,4.6,406.0,8
Helado De Agua Sabor A Frutilla,HELADOS,87.3,0.0,21.8,0.0,0.0,20.0,0.0,8
Pasta De Aceitunas Negras,VEGETALES Y FRUTAS,217.5,0.8,3.2,22.2,1.5,0.5,1175.0,8
Tomate Deshidratado,VEGETALES Y FRUTAS,265.0,10.5,42.5,6.2,15.2,42.5,85.0,8
Maíz Pisado Blanco,CEREALES Y HARINAS,350.0,8.3,74.0,1.7,2.7,0.3,0.0,8
Chorizos Frescos De Cerdo,CARNES Y CHACINADOS,250.0,14.4,3.3,18.6,1.4,,581.0,8
Soja,VEGETALES Y FRUTAS,413.3,35.8,23.3,20.0,10.9,5.2,2.5,8
Jugo De Manzana Pasteurizado,JUGOS,47.0,0.0,11.8,0.0,0.7,11.5,5.8,8
Dulce De Mora,CONFITURAS Y DULCES,255.0,0.0,65.0,0.0,0.0,65.0,0.0,8
Dulce De Durazno,CONFITURAS Y DULCES,260.0,,65.0,,,65.0,0.0,8
Dulce De Cassis,CONFITURAS Y DULCES,235.0,0.0,60.0,0.0,4.0,60.0,0.0,8
Harina De Trigo 0000,CEREALES Y HARINAS,400.7,12.1,83.0,1.9,3.1,,4.0,8
Aceitunas Verdes En Rodajas En Salmuera Calidad Iii,VEGETALES Y FRUTAS,145.0,,5.0,13.5,3.5,,1972.5,8
Poroto,VEGETALES Y FRUTAS,330.8,21.7,60.0,1.3,25.0,2.3,0.0,8
Azucar Comun Tipo A - Libre De Gluten,AZÚCARES Y EDULCORANTES,400.0,0.0,100.0,0.0,0.0,100.0,0.0,8
Ajies Despuntados En Vinagre De Alcohol,VEGETALES Y FRUTAS,16.0,0.4,2.8,0.0,1.4,1.5,1400.0,7
Alfajor Relleno De Dulce De Leche Cubierto Con Baño De Reposteria Semiamargo,GALLETITAS Y BARRAS,415.0,6.7,66.9,16.7,1.3,37.5,97.0,7
Pepinillos En Vinagre De Alcohol,VEGETALES Y FRUTAS,20.0,1.0,3.2,0.0,1.2,3.3,566.0,7
Alfajor Relleno Con Dulce De Leche Cubierto Con Baño De Reposteria Fantasía Blanco,GALLETITAS Y BARRAS,376.3,5.5,57.9,13.2,1.8,35.6,105.3,7
Remolacha En Cubos,VEGETALES Y FRUTAS,36.9,1.6,7.3,0.0,2.5,4.5,263.9,7
Aceitunas Verdes Rellenas Con Pasta De Pimiento Morron En Salmuera,VEGETALES Y FRUTAS,160.0,0.5,3.5,16.0,1.5,0.5,2315.0,7
Semillas De Quinoa,SEMILLAS Y FRUTOS SECOS,346.7,13.3,66.7,5.8,6.0,6.0,0.0,7
Helado De Crema Sabor Pistacho,HELADOS,196.7,4.2,26.0,8.5,0.8,23.2,28.3,7
Pan Lactal Con Salvado,MASAS Y PANADERÍA,330.0,9.2,62.0,5.9,3.4,3.8,430.0,7
Helado De Agua Sabor Manzana,HELADOS,100.0,,25.0,,,23.3,0.0,7
Mermelada De Zapallo,CONFITURAS Y DULCES,235.0,0.8,65.0,0.0,0.5,55.0,0.0,7
Alimento Para Propósitos Médicos Específicos En Polvo Dietético,SUPLEMENTOS Y DIETÉTICOS,312.0,31.3,31.2,10.9,1.4,5.3,221.4,7
Galletitas Dulces Con Chips De Chocolate,GALLETITAS Y BARRAS,460.0,6.4,56.7,23.3,2.3,26.0,110.0,7
Snacks A Base De Papa Sabor Crema Y Cebolla,VEGETALES Y FRUTAS,540.0,6.0,56.0,32.0,3.4,3.2,644.0,7
Snacks A Base De Papa Sabor Queso Cheddar,VEGETALES Y FRUTAS,540.0,6.0,56.0,32.0,3.6,3.2,472.0,7
Turron De Alicante,REPOSTERÍA Y CONFITERÍA,535.0,15.0,42.0,33.0,5.0,40.0,0.0,7
Pasta De Sesamo,VEGETALES Y FRUTAS,645.0,24.2,13.3,53.3,5.3,0.0,0.0,7
Galletitas Dulces Con Relleno Sabor Frutilla,GALLETITAS Y BARRAS,470.0,6.7,76.7,16.0,2.0,36.7,240.0,7
Bombones De Chocolate Con Leche Rellenos,CACAO Y CHOCOLATE,556.0,4.8,54.0,34.8,2.2,45.8,110.0,7
Granos De Choclo Amarillo Entero,VEGETALES Y FRUTAS,65.4,2.8,12.3,1.7,1.6,2.1,53.9,7
Anana En Trozos Comunes,VEGETALES Y FRUTAS,83.6,1.0,20.7,0.0,0.7,17.9,0.0,7
Chicles Sabores Surtidos,CARAMELOS Y GOLOSINAS,361.7,,89.2,,,64.2,0.0,7
Arvejas Verdes Medianas,VEGETALES Y FRUTAS,68.5,5.4,10.0,0.8,5.7,1.7,200.0,7
Champiñones,VEGETALES Y FRUTAS,24.0,2.4,3.0,0.3,2.3,0.0,240.0,7
Manteca Extra Con Sal,ACEITES Y GRASAS,760.0,0.0,0.0,84.0,,0.0,770.0,7
Arroz Integral,CEREALES Y HARINAS,346.0,8.8,70.0,3.0,4.2,1.2,0.0,7
Confitura De Grosella Negra,CONFITURAS Y DULCES,225.0,0.0,55.0,0.0,2.8,55.0,0.0,7
Confitura De Moras,CONFITURAS Y DULCES,220.0,0.8,55.0,0.0,2.0,50.0,0.0,7
Queso Fundido,QUESOS,260.0,14.9,2.0,22.9,0.0,2.0,666.7,7
Caramelos Duros Sabor A Mentol Y Eucalipto,CARAMELOS Y GOLOSINAS,388.9,0.0,95.2,0.0,0.0,95.2,15.9,7
Alimento Para Propositos Medicos Especificos En Polvo Para Lactantes,SUPLEMENTOS Y DIETÉTICOS,482.3,7.5,51.1,24.8,0.0,4.6,191.5,7
Salsa A Base De Tomates,SALSAS Y ADEREZOS,31.7,1.3,6.7,0.0,1.8,4.7,283.3,7
Chupetin De Caramelo Duro Sabor A Uva,CARAMELOS Y GOLOSINAS,409.1,0.0,100.0,0.0,0.0,81.8,90.9,7
Harina Integral,CEREALES Y HARINAS,306.0,12.0,59.2,3.0,12.0,6.7,14.0,7
Champignones,VEGETALES Y FRUTAS,17.7,2.0,3.0,0.5,1.8,,300.0,7
"Snacks A Base De Papa, Con Aceite Vegetal Y Harina De Cereales, Sabor Crema Y Cebolla",CEREALES Y HARINAS,514.0,4.4,59.0,30.8,3.0,2.4,516.0,7
Harina De Maíz De Cocción Rápida Para Preparar Polenta,CEREALES Y HARINAS,354.0,8.4,77.4,1.2,4.4,,0.0,7
Suplemento Dietario En Polvo Dietético Para Preparar Bebida A Base De Proteínas,SUPLEMENTOS Y DIETÉTICOS,393.9,75.8,12.1,4.5,0.0,,328.6,7
Conserva De Garbanzos Secos Remojados,VEGETALES Y FRUTAS,110.8,6.3,17.7,1.6,4.9,0.4,201.5,7
Helado De Agua Sabor A Uva,HELADOS,88.0,0.0,21.7,0.0,0.0,20.0,0.0,7
Helado De Agua Sabor A Limon,HELADOS,86.7,0.0,21.7,0.0,0.0,22.8,0.0,7
Harinilla De Maiz,CEREALES Y HARINAS,336.0,8.0,74.0,0.6,4.6,0.0,0.0,7
Semola De Maiz Para Preparar Polenta,CEREALES Y HARINAS,344.0,8.0,78.0,0.0,4.5,0.0,0.0,7
Alfajor Relleno Con Dulce De Leche,GALLETITAS Y BARRAS,385.3,4.8,57.5,15.0,1.2,40.0,113.3,7
Pulpa De Tomates,VEGETALES Y FRUTAS,15.0,1.1,3.8,0.0,0.7,2.8,26.7,7
Trigo Candeal Pelado,CEREALES Y HARINAS,328.0,14.6,64.0,1.6,6.4,,0.0,7
Maiz Inflado Azucarado,CEREALES Y HARINAS,384.0,5.0,88.0,1.3,3.3,31.0,0.0,7
Galleta De Molde,MASAS Y PANADERÍA,373.3,8.3,56.7,12.7,3.3,2.0,573.3,7
Pastas Frescas Rellenas,PASTAS,248.0,8.1,41.0,6.1,1.2,0.0,403.0,7
Queso Cuartirolo,QUESOS,286.7,21.0,3.0,21.0,0.0,0.8,393.3,7
Jamon Crudo,CARNES Y CHACINADOS,335.0,20.8,2.5,24.5,0.2,0.0,990.0,7
Mermelada De Damasco Reducida En Calorias,SUPLEMENTOS Y DIETÉTICOS,140.0,0.0,34.0,0.0,0.0,26.0,0.0,7
Confitura De Manzana,CONFITURAS Y DULCES,200.0,0.0,55.0,0.0,0.7,55.0,0.0,7
Dulce De Corinto,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,0.0,65.0,0.0,7
Mermelada De Rosa Mosqueta,CONFITURAS Y DULCES,255.0,0.0,65.0,0.0,11.0,60.0,0.0,7
Tomates En Mitades Deshidratados,VEGETALES Y FRUTAS,272.5,10.0,55.0,2.4,6.8,53.8,430.0,7
Aceto Balsamico Reduccion,VINAGRES,308.3,,75.0,,,61.7,66.7,7
Aderezo A Base De Berenjenas,SALSAS Y ADEREZOS,116.7,0.0,7.5,8.3,0.0,0.0,316.7,7
"Mix De Helado De Agua Sabor Limon, Helado De Crema Sabor Frutilla Aromatizados Con Esencia Artificial Y Helado De Crema De Chocolate",HELADOS,171.7,2.8,31.7,4.0,,25.0,55.0,7
Duraznos Amarillos En Mitades Comunes En Jarabe Diluído,VEGETALES Y FRUTAS,62.9,0.5,15.0,,1.0,13.6,7.9,7
Cóctel De Cuatro Frutas Grado Comun En Jarabe Diluido,VEGETALES Y FRUTAS,64.3,0.4,15.7,0.0,0.7,13.6,5.7,7
Salsa A Base De Tomate Filetto,SALSAS Y ADEREZOS,31.7,0.7,6.0,0.0,1.3,4.5,200.0,7
