rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
03-060722,ACEITE DE OLIVA VIRGEN EXTRA A GRANEL (SM),SM,ACEITES Y GRASAS,ml,900.0,0.0,0.0,100.0,16.92,0.0,0.0,0.0,0.0,Datos Alimentos Catamarca 03
03-060721,ACEITE DE OLIVA VIRGEN A GRANEL,,ACEITES Y GRASAS,ml,,,,,,,,,,Datos Alimentos Catamarca 03
03-060720,NUEZ SIN CÁSCARA EN CUARTOS (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060719,NUEZ SIN CÁSCARA MARIPOSA (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060718,NUEZ SIN CÁSCARA EN CUARTOS (FINCA LA FLORIDA-NUTS),FINCA LA FLORIDA-NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060717,NUEZ CON CáSCARA (FINCA LA FLORIDA),FINCA LA FLORIDA,VEGETALES Y FRUTAS,g,350.0,7.5,2.5,32.5,2.5,,2.5,,0.0,Datos Alimentos Catamarca 03
03-060716,NUEZ SIN CÁSCARA MARIPOSA (FINCA LA FLORIDA- NUTS),FINCA LA FLORIDA- NUTS,VEGETALES Y FRUTAS,g,700.0,15.0,5.0,65.0,5.0,,5.0,,0.0,Datos Alimentos Catamarca 03
03-060715,"PASTILLA DE GOMA FANTASÍA SABOR A TUTTI FRUTTI RECUBIERTAS CON CARAMELOS DUROS ÁCIDOS SABORES A UVA, MANZANA, LIMÓN, NARANJA Y FRUTILLA (MOGUL EXTREME)",MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,350.57,0.0,86.21,0.0,0.0,0.0,0.0,68.97,0.0,Datos Alimentos Catamarca 03
03-060714,PASAS DE UVA EN GRANO - SELECCIÓN SUPERIOR (ANDRES GIMENEZ ROMANO),ANDRES GIMENEZ ROMANO,VEGETALES Y FRUTAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060713,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A MULTIFRUTA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,430.77,Datos Alimentos Catamarca 03
03-060712,AJIES DESPUNTADOS  EN VINAGRE DE ALCOHOL (CASTELL),CASTELL,VEGETALES Y FRUTAS,g,24.0,1.2,3.6,0.0,0.0,0.0,1.6,0.0,1400.0,Datos Alimentos Catamarca 03
03-060711,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A LIMONADA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,276.92,Datos Alimentos Catamarca 03
03-060710,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A MANZANA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,84.62,,,,,,446.15,Datos Alimentos Catamarca 03
03-060709,POLVO PARA PREPARAR BEBIDA ANALCOHOLICA ARTIFICIAL DIETETICA DE BAJAS CALORIAS ADICIONADA CON VITAMINA C SABOR A NARANJA (ARCOR),ARCOR,BEBIDAS ANALCOHÓLICAS,g,,,,,,,,,315.38,Datos Alimentos Catamarca 03
03-060708,ACEITUNAS NEGRAS EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,203.5,,,21.5,4.0,,2.5,,1495.0,Datos Alimentos Catamarca 03
03-060707,BATATA  EN ALMIBAR CON VAINILLINA (CUESTA DEL PORTEZUELO),CUESTA DEL PORTEZUELO,CONFITURAS Y DULCES,g,189.0,0.3,47.0,,,,0.7,42.0,2.7,Datos Alimentos Catamarca 03
03-060706,PASTILLAS DE GOMA FANTASÍA RELLENAS SABOR A FRAMBUESA Y FRUTILLA (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,323.33,4.0,76.67,0.0,0.0,0.0,0.0,50.0,33.33,Datos Alimentos Catamarca 03
03-060705,CONSERVA DE AJIES TROCEADOS CONDIMENTADOS EN ACEITE DE GIRASOL (WAIDATT),WAIDATT,VEGETALES Y FRUTAS,g,154.0,1.0,2.2,15.0,1.8,0.0,1.0,,580.0,Datos Alimentos Catamarca 03
03-060704,PIMIENTOS CONDIMENTADOS  EN ACEITE DE GIRASOL (WAIDATT),WAIDATT,VEGETALES Y FRUTAS,g,164.0,1.0,3.6,16.0,2.0,0.0,1.2,3.0,600.0,Datos Alimentos Catamarca 03
03-060703,ACEITUNAS VERDES EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,254.0,,,26.0,5.0,,5.0,,1495.0,Datos Alimentos Catamarca 03
03-060702,ACEITUNAS VERDES DESCAROZADAS EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,221.5,,,23.5,3.5,,2.5,,1495.0,Datos Alimentos Catamarca 03
03-060701,ACEITUNAS VERDES EN RODAJAS EN SALMUERA (VALLE VIEJO S.A.),VALLE VIEJO S.A.,VEGETALES Y FRUTAS,g,221.5,,,23.5,3.5,,2.5,,1495.0,Datos Alimentos Catamarca 03
03-060700,MAMON EN ALMIBAR CON VAINILLINA (CUESTA DEL PORTEZUELO),CUESTA DEL PORTEZUELO,CONFITURAS Y DULCES,g,111.0,0.3,27.0,,,,0.3,27.0,3.1,Datos Alimentos Catamarca 03
03-060699,DULCE  DE MEMBRILLO (ABUMALEK),ABUMALEK,CONFITURAS Y DULCES,g,290.0,0.25,72.5,0.0,0.0,0.0,1.5,67.5,20.0,Datos Alimentos Catamarca 03
03-060698,PASTILLAS DE GOMA FANTASíA RELLENAS SABOR A ARáNDANO Y FRUTILLA (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,323.33,4.0,76.67,0.0,0.0,0.0,0.0,50.0,24.0,Datos Alimentos Catamarca 03
03-060697,PASTILLAS DE GOMA FANTASIA SABOR A FRUTILLA (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,325.0,5.0,75.0,0.0,0.0,0.0,0.0,50.0,33.0,Datos Alimentos Catamarca 03
03-060696,PASTILLAS DE GOMA FANTASíA SABORES A UVA Y NARANJA (MOGUL EXTREME),MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,319.05,4.29,76.19,0.0,0.0,0.0,0.0,52.38,133.33,Datos Alimentos Catamarca 03
03-060695,ACEITUNAS NEGRAS TIPO GRIEGO  EN ACEITE DE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,370.0,2.0,4.0,38.0,5.0,0.0,3.0,2.0,300.0,Datos Alimentos Catamarca 03
03-060694,ALFAJOR RELLENO CON DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA SEMIAMARGO (TITITTO),TITITTO,GALLETITAS Y BARRAS,g,340.0,6.0,53.33,11.33,5.67,,1.17,,83.33,Datos Alimentos Catamarca 03
03-060693,ALFAJOR CON RELLENO DE DULCE DE LECHE Y PASTA DE SABOR FRAMBUESA CUBIERTO CON BAÑO DULCE DE MANTECA DE CACAO CON FRAMBUESA (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,385.71,5.71,60.0,14.29,8.57,,1.71,45.71,114.29,Datos Alimentos Catamarca 03
03-060692,CONSERVA DE CEBOLLAS TROCEADAS CONDIMENTADAS EN ACEITE DE GIRASOL (FINCA AGUILAR),FINCA AGUILAR,VEGETALES Y FRUTAS,g,250.0,1.2,2.0,25.0,3.0,0.0,1.8,3.0,60.0,Datos Alimentos Catamarca 03
03-060691,ACEITUNAS VERDES DESCAROZADAS EN SALMUERA (PLEIONE GOURMET),PLEIONE GOURMET,VEGETALES Y FRUTAS,g,35.0,,,5.0,,,,,1150.0,Datos Alimentos Catamarca 03
03-060690,DULCE DE MEMBRILLO (LA CHACANA),LA CHACANA,CONFITURAS Y DULCES,g,282.5,0.25,70.0,,,,1.5,65.0,15.0,Datos Alimentos Catamarca 03
03-060689,GALLETA CON DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA SEMIAMARGO (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,350.0,5.0,60.0,10.0,5.0,,3.0,45.0,125.0,Datos Alimentos Catamarca 03
03-060688,GALLETA CON DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA FANTASIA BLANCO (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,350.0,5.0,55.0,10.0,5.0,5.0,,45.0,135.0,Datos Alimentos Catamarca 03
03-060687,ALFAJOR RELLENO DE MERMELADA DE FRUTILA CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,306.67,3.33,60.0,6.67,3.33,,2.0,43.33,46.67,Datos Alimentos Catamarca 03
03-060686,"ALFAJOR RELLENO CON MERMELADA DE CAYOTE, DULCE DE LECHE, QUESO SARDO Y NUEZ CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN)",EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,291.89,2.7,54.05,8.11,2.7,,1.62,37.84,81.08,Datos Alimentos Catamarca 03
03-060685,ALFAJOR RELLENO CON MERMELADA DE HIGO CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,306.67,3.33,60.0,6.67,3.33,,2.0,43.33,46.67,Datos Alimentos Catamarca 03
03-060684,ALFAJOR RELLENO CON MERMELADA DE DURAZNO CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,290.0,3.33,56.67,6.67,3.33,,1.67,40.0,46.67,Datos Alimentos Catamarca 03
03-060683,ALFAJOR RELLENO CON DULCE DE LECHE CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,330.0,6.67,56.67,10.0,3.33,,1.0,36.67,106.67,Datos Alimentos Catamarca 03
03-060682,ALFAJOR RELLENO CON DULCE DE MEMBRILLO CUBIERTO CON BAÑO DE GLASÉ (EL RODEO EL SABOR DEL ORIGEN),EL RODEO EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,306.67,3.33,63.33,6.67,3.33,,2.0,36.67,56.67,Datos Alimentos Catamarca 03
03-060681,ACEITE DE OLIVA VIRGEN EXTRA A GRANEL (NOGADA),NOGADA,ACEITES Y GRASAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060680,DURAZNOS ENTEROS EN ALMIBAR (CHAYO),CHAYO,CONFITURAS Y DULCES,g,150.0,,37.0,,,,,37.0,,Datos Alimentos Catamarca 03
03-060679,MERMELADA DE CAYOTE EN FIBRAS (CHAYO),CHAYO,CONFITURAS Y DULCES,g,220.0,,55.0,,,,,55.0,0.0,Datos Alimentos Catamarca 03
03-060678,"PASTILLAS DE GOMA FANTASÍA SABORES A FRUTILLA, ANANÁ Y LIMÓN. (MOGUL EXTREME)",MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,320.0,5.5,75.0,0.0,0.0,0.0,0.0,55.0,135.0,Datos Alimentos Catamarca 03
03-060677,PASTA DE AJO EN SALMUERA A GRANEL (EL ALTO),EL ALTO,VEGETALES Y FRUTAS,g,165.0,1.0,2.0,15.0,3.5,,0.5,,1200.0,Datos Alimentos Catamarca 03
03-060675,AGUA DE MESA ENVASADA (PURA VIDA),PURA VIDA,AGUAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060674,"PASTILLAS DE GOMA FANTASÍA SABORES A FRUTILLA, NARANJA Y ANANÁ. (MISKY)",MISKY,CARAMELOS Y GOLOSINAS,g,324.0,2.8,76.0,0.0,0.0,0.0,0.0,52.0,0.0,Datos Alimentos Catamarca 03
03-060673,"PASTILLA DE GOMA SABORES A FRUTILLA, NARANJA, MANZANA Y DURAZNO (RICOMAS)",RICOMAS,CARAMELOS Y GOLOSINAS,g,321.05,0.0,78.95,0.0,0.0,0.0,0.0,52.63,0.0,Datos Alimentos Catamarca 03
03-060672,"PASTILLAS DE GOMA FANTASÍA SABORES A BANANA, ANANÁ Y TUTTI FRUTTI. (MISKY)",MISKY,CARAMELOS Y GOLOSINAS,g,324.0,2.8,76.0,0.0,0.0,0.0,0.0,52.0,29.6,Datos Alimentos Catamarca 03
03-060671,PASTILLAS DE GOMA FANTASÍA SABOR A TUTTI FRUTTI. (MISKY),MISKY,CARAMELOS Y GOLOSINAS,g,321.74,3.04,78.26,0.0,0.0,0.0,0.0,47.83,0.0,Datos Alimentos Catamarca 03
03-060670,"PASTILLAS DE GOMA FANTASÍA SABORES A TUTTI FRUTTI, ANANÁ Y LIMÓN. (MISKY)",MISKY,CARAMELOS Y GOLOSINAS,g,321.05,2.63,78.95,0.0,0.0,0.0,0.0,52.63,26.84,Datos Alimentos Catamarca 03
03-060669,"PASTILLA DE GOMA SABORES A NARANJA, MANZANA, BANANA Y FRUTILLA. (RICOMAS)",RICOMAS,CARAMELOS Y GOLOSINAS,g,321.05,0.0,78.95,0.0,0.0,0.0,0.0,52.63,0.0,Datos Alimentos Catamarca 03
03-060668,"PASTILLAS DE GOMA SABORES A FRUTILLA, ANANÁ, MANZANA, NARANJA, UVA Y BANANA (RICOMÁS)",RICOMÁS,CARAMELOS Y GOLOSINAS,g,325.0,0.0,80.0,0.0,0.0,0.0,0.0,55.0,0.0,Datos Alimentos Catamarca 03
03-060667,PASTILLAS DE GOMA FANTASÍA SABOR A SANDÍA (MISKY),MISKY,CARAMELOS Y GOLOSINAS,g,321.05,2.63,78.95,0.0,0.0,0.0,0.0,52.63,26.84,Datos Alimentos Catamarca 03
03-060666,"PASTILLA DE GOMA FANTASíA SABORES A FRUTILLA, ARáNDANO Y UVA (MOGUL)",MOGUL,CARAMELOS Y GOLOSINAS,g,322.86,4.0,77.14,0.0,0.0,0.0,0.0,57.14,28.57,Datos Alimentos Catamarca 03
03-060665,ACEITUNAS NEGRAS EN SALMUERA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,190.0,1.0,2.0,19.0,4.5,0.0,4.0,2.0,1100.0,Datos Alimentos Catamarca 03
03-060664,CONSERVA DE PIMIENTOS MORRONES EN TROZOS CONDIMENTADOS EN ACEITE DE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,150.0,1.2,2.2,15.0,2.0,0.0,0.8,1.2,400.0,Datos Alimentos Catamarca 03
03-060663,ZAPALLO EN ALMÍBAR (CHAYO),CHAYO,AZÚCARES Y EDULCORANTES,g,220.0,,55.0,,,,,55.0,,Datos Alimentos Catamarca 03
03-060662,HIGOS  EN ALMIBAR (CHAYO),CHAYO,CONFITURAS Y DULCES,g,260.0,,65.0,,,,,65.0,,Datos Alimentos Catamarca 03
03-060661,CONSERVA DE PIMIENTOS MORRONES CALAHORRA ENTEROS ELEGIDOS (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,22.0,1.0,3.6,0.2,0.0,0.0,0.8,3.0,750.0,Datos Alimentos Catamarca 03
03-060660,LIMAS EN ALMIBAR (CHAYO),CHAYO,CONFITURAS Y DULCES,g,230.0,,57.5,,,,2.0,57.5,,Datos Alimentos Catamarca 03
03-060659,ACEITE DE OLIVA VIRGEN EXTRA (MONTE TESTACCIO - CORATINA),MONTE TESTACCIO - CORATINA,ACEITES Y GRASAS,ml,830.77,,,92.31,11.54,,,,0.0,Datos Alimentos Catamarca 03
03-060658,ACEITE DE OLIVA VIRGEN EXTRA (MONTE TESTACCIO - BLEND),MONTE TESTACCIO - BLEND,ACEITES Y GRASAS,ml,830.77,,,92.31,13.85,,,,0.0,Datos Alimentos Catamarca 03
03-060657,CONSERVA DE HORTALIZAS EN ACEITE DE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,293.33,1.33,3.67,30.0,3.67,0.0,1.33,2.67,13.33,Datos Alimentos Catamarca 03
03-060656,PICKLES MIXTOS EN VINAGRE DE ALCOHOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,30.0,1.33,5.0,0.33,0.0,0.0,1.33,1.0,1200.0,Datos Alimentos Catamarca 03
03-060655,HORTALIZAS ESCABECHADAS EN ACEITE DE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,152.0,1.2,2.2,15.0,2.0,0.0,1.2,1.2,400.0,Datos Alimentos Catamarca 03
03-060654,TOMATES PELADOS PERITAS  ENTEROS ELEGIDOS CON PURé DE TOMATE (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,29.23,1.69,4.69,0.08,0.0,0.0,1.23,3.77,5.38,Datos Alimentos Catamarca 03
03-060653,ACEITUNAS VERDES EN RODAJAS EN SALMUERA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,96.67,0.33,0.67,10.0,1.33,0.0,1.67,0.33,1066.67,Datos Alimentos Catamarca 03
03-060652,CHIMICHURRI (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,18.0,1.2,1.8,0.4,0.0,0.0,0.8,0.8,1200.0,Datos Alimentos Catamarca 03
03-060651,ACEITUNAS VERDES DESCAROZADAS EN SALMUERA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,145.0,0.5,1.0,15.0,2.0,0.0,2.5,0.5,1600.0,Datos Alimentos Catamarca 03
03-060650,AJI DESPUNTADOS EN VINAGRE DE ALCOHOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,88.0,5.6,11.2,0.8,0.0,0.0,3.2,5.6,6000.0,Datos Alimentos Catamarca 03
03-060649,CONSERVA DE  AJIES TROCEADOS  CON ESPECIAS EN ACEITE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,150.0,1.2,2.2,15.0,2.0,0.0,1.2,1.0,400.0,Datos Alimentos Catamarca 03
03-060648,AGUA DE MESA  ENVASADA (AGUA VIRGEN DEL VALLE),AGUA VIRGEN DEL VALLE,AGUAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060647,CEBOLLITAS EN VINAGRE DE ALCOHOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,20.0,0.67,3.33,0.33,0.0,0.0,4.33,4.33,956.67,Datos Alimentos Catamarca 03
03-060646,MERMELADA DE DURAZNO (VALLES),VALLES,CONFITURAS Y DULCES,g,230.0,,60.0,,,,,55.0,1.0,Datos Alimentos Catamarca 03
03-060645,PURE DE TOMATE (VALLES),VALLES,VEGETALES Y FRUTAS,g,18.0,1.3,3.3,0.0,0.0,0.0,1.0,3.3,0.5,Datos Alimentos Catamarca 03
03-060644,MERMELADA DE ARANDANO (VALLES),VALLES,CONFITURAS Y DULCES,g,200.0,,50.0,,,,5.0,35.0,0.5,Datos Alimentos Catamarca 03
03-060643,ALFAJOR RELLENO CON DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA FANTASIA BLANCO (EL RODEO - EL SABOR DEL ORIGEN),EL RODEO - EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,406.67,6.67,56.67,16.67,10.0,,0.67,40.0,73.33,Datos Alimentos Catamarca 03
03-060642,ALFAJOR RELLENO DE DULCE DE LECHE CON BAÑO DE REPOSTERIA SEMIAMARGO (GULERO - CULPABLE DE SER IRRESISTIBLE),GULERO - CULPABLE DE SER IRRESISTIBLE,GALLETITAS Y BARRAS,g,437.5,10.0,55.0,17.5,7.5,,1.25,40.0,117.5,Datos Alimentos Catamarca 03
03-060641,ALFAJOR RELLENO DE DULCE DE LECHE CUBIERTO CON BAÑO DE RESPOSTERIA FANTASIA BLANCO (EL RODEO - EL SABOR DEL ORIGEN),EL RODEO - EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060640,ALFAJOR RELLENO DE DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA SEMIAMARGO (EL RODEO -  EL SABOR DEL ORIGEN),EL RODEO -  EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060639,MERMELADA DE TOMATE (VALLES),VALLES,CONFITURAS Y DULCES,g,185.0,,45.0,,,,,45.0,6.0,Datos Alimentos Catamarca 03
03-060638,ALFAJOR RELLENO DE DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA FANTASIA BLANCO (EL RODEO - EL SABOR DEL ORIGEN),EL RODEO - EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,386.67,6.67,60.0,13.33,10.0,,1.0,40.0,73.33,Datos Alimentos Catamarca 03
03-060637,SUPLEMENTO DIETARIO A BASE DE VITAMINAS Y MINERALES EN PASTILLAS DE GOMA SABOR A NARANJA (SIMPLE),SIMPLE,SUPLEMENTOS Y DIETÉTICOS,g,325.0,0.0,76.25,0.0,0.0,0.0,0.0,57.5,0.0,Datos Alimentos Catamarca 03
03-060636,ALFAJOR RELLENO  DE DULCE DE LECHE CUBIERTO CON BAÑO DE REPOSTERIA SEMIAMARGO (EL RODEO - EL SABOR DEL ORIGEN),EL RODEO - EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,393.33,6.67,53.33,16.67,10.0,,0.67,43.33,46.67,Datos Alimentos Catamarca 03
03-060635,GALLETA SABOR A VAINILLA (ALFAJORES EL RODEO),ALFAJORES EL RODEO,GALLETITAS Y BARRAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060634,SALSA A BASE DE TOMATE CON AJI CAYENA Y ESPECIAS (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,23.33,0.83,3.83,0.17,0.0,0.0,0.33,1.83,900.0,Datos Alimentos Catamarca 03
03-060633,CONSERVA DE BERENJENA CON ESPECIAS EN ACEITE DE GIRASOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,162.0,2.0,3.0,15.6,2.0,0.0,1.0,0.0,780.0,Datos Alimentos Catamarca 03
03-060632,PASTILLAS DE GOMA FANTASÍA SABOR A FRUTILLA (MOGUL EXTREME),MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,333.33,,77.78,,,,,50.0,155.56,Datos Alimentos Catamarca 03
03-060631,PIMIENTOS ENTEROS COMUNES EN CONSERVA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,22.0,1.0,3.6,0.2,0.0,0.0,0.8,3.0,750.0,Datos Alimentos Catamarca 03
03-060630,SALSA A BASE DE TOMATE TRITURADO CON ESPECIAS (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,25.0,1.17,4.5,0.17,0.0,0.0,0.5,3.5,1150.0,Datos Alimentos Catamarca 03
03-060629,PURE DE TOMATE (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,64.0,3.0,12.0,0.4,0.0,0.0,1.0,10.4,18.0,Datos Alimentos Catamarca 03
03-060628,PASTILLAS DE GOMA CON CONFITADO BLANDO SABORES A ANANÁ Y ARÁNDANO (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,355.0,,90.0,,,,,70.0,0.0,Datos Alimentos Catamarca 03
03-060627,"PASTILLAS DE GOMA FANTASÍA RELLENAS SABORES A ARÁNDANO, NARANJA, FRUTILLA Y UVA (MOGUL)",MOGUL,CARAMELOS Y GOLOSINAS,g,323.33,4.0,76.67,0.0,0.0,0.0,0.0,50.0,33.33,Datos Alimentos Catamarca 03
03-060626,PASTILLAS DE GOMA FANTASÍA SABOR TUTTI FRUTTI (MOGUL),MOGUL,CARAMELOS Y GOLOSINAS,g,326.67,5.0,76.67,,,,,50.0,30.0,Datos Alimentos Catamarca 03
03-060625,SALSA A BASE DE TOMATE PARA PIZZA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,38.33,2.0,6.83,0.17,0.0,0.0,0.67,6.17,458.33,Datos Alimentos Catamarca 03
03-060624,PASTILLAS DE GOMA FANTASÍA SABOR A ARÁNDANO RECUBIERTAS CON CARAMELOS DUROS ÁCIDOS SABOR A ARÁNDANO. (MOGUL EXTREME),MOGUL EXTREME,CARAMELOS Y GOLOSINAS,g,345.0,3.0,85.0,,,,,65.0,0.0,Datos Alimentos Catamarca 03
03-060623,PEPINILLOS EN VINAGRE DE ALCOHOL (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,20.0,0.67,3.67,0.33,0.0,0.0,1.33,3.33,880.0,Datos Alimentos Catamarca 03
03-060622,ACEITUNAS VERDES EN SALMUERA (LA TINOGASTEÑA),LA TINOGASTEÑA,VEGETALES Y FRUTAS,g,80.0,1.5,2.0,7.0,1.0,,6.0,,2000.0,Datos Alimentos Catamarca 03
03-060621,ACEITUNAS NEGRAS EN SALMUERA (LA TINOGASTEÑA),LA TINOGASTEÑA,VEGETALES Y FRUTAS,g,150.0,,,30.0,3.0,,,,2000.0,Datos Alimentos Catamarca 03
03-060620,TOMATE TRITURADO (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,54.0,2.4,10.0,0.0,0.0,0.0,0.8,8.4,16.0,Datos Alimentos Catamarca 03
03-060619,ACEITUNAS VERDES EN SALMUERA (ABUMALEK),ABUMALEK,VEGETALES Y FRUTAS,g,725.0,2.0,4.5,75.0,11.0,0.0,12.5,2.5,8000.0,Datos Alimentos Catamarca 03
03-060618,ACEITUNAS NEGRAS EN SALMUERA (OLEA),OLEA,VEGETALES Y FRUTAS,g,200.0,1.0,2.0,19.0,4.0,,5.0,,1250.0,Datos Alimentos Catamarca 03
03-060617,ACEITUNAS VERDES EN SALMUERA (OLEA),OLEA,VEGETALES Y FRUTAS,g,185.0,0.5,1.0,16.5,4.0,,5.0,,2240.0,Datos Alimentos Catamarca 03
03-060616,ACEITUNAS RELLENAS CON PASTA DE PIMENTON EN SALMUERA (OLEA),OLEA,VEGETALES Y FRUTAS,g,190.0,1.0,5.0,20.0,4.0,,1.5,,1770.0,Datos Alimentos Catamarca 03
03-060615,GALLETAS SABOR A VAINILLA CON RELLENO FIRME SABOR A LIMON CUBIERTAS CON BAÑO DE REPOSTERIA SEMIAMARGO (ALFAJORES EL RODEO),ALFAJORES EL RODEO,GALLETITAS Y BARRAS,g,450.0,4.33,63.33,22.67,13.67,,2.0,40.0,126.67,Datos Alimentos Catamarca 03
03-060614,AJÍ TRITURADO (CHAYO),CHAYO,VEGETALES Y FRUTAS,g,,,,,,,,,,Datos Alimentos Catamarca 03
03-060613,ALFAJOR RELLENO DE DULCE DE LECHE CUBIERTO PARCIALMENTE CON COCO RALLADO (EL RODEO - EL SABOR DEL ORIGEN),EL RODEO - EL SABOR DEL ORIGEN,GALLETITAS Y BARRAS,g,353.33,6.67,57.78,11.11,6.67,,0.89,37.78,106.67,Datos Alimentos Catamarca 03
