rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
06-003260,MASA PRECOCIDA PARA PIZZA (KC GOURMET),KC GOURMET,MASAS Y PANADERÍA,g,285.0,3.5,60.0,3.5,0.5,,,0.0,512.5,Datos Alimentos Chaco 06
06-003258,TAPAS PARA PASTELITOS (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,MASAS Y PANADERÍA,g,296.67,6.67,56.67,3.33,2.67,0.67,,0.0,613.33,Datos Alimentos Chaco 06
06-003257,TAPAS PARA EMPANADAS HOJALDRE PARA HORNO (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,MASAS Y PANADERÍA,g,333.33,8.0,53.33,10.0,5.33,1.33,,0.0,523.33,Datos Alimentos Chaco 06
06-003249,PRODUCTO PARA COPETÍN - PALITOS DE MAÍZ SABOR QUESO PARMESANO (OVNI),OVNI,GALLETITAS Y BARRAS,g,444.0,4.0,72.0,16.0,,,,0.0,856.0,Datos Alimentos Chaco 06
06-003248,TAPAS PARA PASCUALINA CRIOLLA PARA HORNO (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,MASAS Y PANADERÍA,g,326.67,6.67,56.67,6.67,6.67,1.33,1.67,,316.67,Datos Alimentos Chaco 06
06-003247,PASTAS FRESCAS FIDEOS CON MORRóN (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,PASTAS,g,291.0,8.0,62.0,1.0,,,2.0,0.0,176.0,Datos Alimentos Chaco 06
06-003246,PASTAS FRESCAS FIDEOS CON ACELGA (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,PASTAS,g,273.0,8.0,59.0,0.6,,,2.0,0.0,207.0,Datos Alimentos Chaco 06
06-003245,PRODUCTO PARA COPETÍN - PALITOS DE MAÍZ SABOR QUESO REGGIANITO (OVNI),OVNI,GALLETITAS Y BARRAS,g,444.0,4.0,72.0,16.0,,,,0.0,640.0,Datos Alimentos Chaco 06
06-003234,MIEL (MIELES DEL CHACO),MIELES DEL CHACO,CONFITURAS Y DULCES,g,335.0,,80.0,,,,,,,Datos Alimentos Chaco 06
06-003233,MIEL (ARGENMIELES),ARGENMIELES,CONFITURAS Y DULCES,g,335.0,,80.0,,,,,80.0,,Datos Alimentos Chaco 06
06-003232,"POSTRE CONGELADO SABOR: FRUTILLA , VAINILLA Y GRANIZADO (LUIGI)",LUIGI,HELADOS,g,206.67,3.67,30.0,8.33,5.0,,,21.67,110.0,Datos Alimentos Chaco 06
06-003225,AGUA DE MESA ENVASADA (VITALISIMA),VITALISIMA,AGUAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003223,COMIDAS PREPARADAS CONGELADAS EMPANADAS DE POLLO PARA HORNO (PASTILETY),PASTILETY,COMIDAS PREPARADAS,g,240.0,11.67,28.33,8.33,1.83,1.67,0.0,0.33,325.0,Datos Alimentos Chaco 06
06-003222,COMIDAS PREPARADAS CONGELADAS EMPANADAS DE CARNE PARA HORNO (PASTILETY),PASTILETY,COMIDAS PREPARADAS,g,246.67,10.0,28.33,10.0,4.0,1.67,0.0,0.17,601.67,Datos Alimentos Chaco 06
06-003220,"TORTA DE CREMA HELADA SABOR A DULCE DE LECHE, VAINILLA Y  FRUTILLA CON BASE DE VAINILLAS BAñADAS EN OPORTO,DECORADA. (ARAGON)",ARAGON,HELADOS,g,173.33,3.67,21.67,7.83,3.5,,,20.0,73.33,Datos Alimentos Chaco 06
06-003219,PASTAS FRESCAS FIDEOS AL HUEVO (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,PASTAS,g,287.0,11.0,59.0,1.0,1.0,,,,323.0,Datos Alimentos Chaco 06
06-003215,TAPAS PARA EMPANADAS FREIR (LAS PASTAS DE DON AMADEO),LAS PASTAS DE DON AMADEO,MASAS Y PANADERÍA,g,336.67,6.67,56.67,10.0,6.67,1.0,,0.0,576.67,Datos Alimentos Chaco 06
06-003210,HELADO DE CREMA-BALDE (LA PORTEÑA),LA PORTEÑA,HELADOS,g,196.67,4.0,28.33,7.0,1.5,,,26.67,45.0,Datos Alimentos Chaco 06
06-003209,MIEL (MIEL DEL MONTE),MIEL DEL MONTE,CONFITURAS Y DULCES,g,320.0,,80.0,,,,,,,Datos Alimentos Chaco 06
06-003196,"CERVEZA DE PURA MALTA, EXTRA NEGRA. ELABORACION ARTESANAL. (EL PERRO)",EL PERRO,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003195,"CERVEZA FUERTE, RUBIA CON ESPECIAS. ELABORACION ARTESANAL. (EL PERRO)",EL PERRO,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003194,"CERVEZA DE PURA MALTA, FUERTE, RUBIA. ELABORACION ARTESANAL. (EL PERRO)",EL PERRO,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003193,"CERVEZA DE PURA MALTA, RUBIA,CON MIEL. ELABORACIÓN ARTESANAL. (EL PERRO)",EL PERRO,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003192,"CERVEZA DE PURA MALTA, FUERTE RUBIA. ELABORACION ARTESANAL (EL PERRO)",EL PERRO,BEBIDAS ALCOHÓLICAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003190,MERMELADA DE MAMON (ISLA DEL CERRITO-RINCON DEL PARANA),ISLA DEL CERRITO-RINCON DEL PARANA,CONFITURAS Y DULCES,g,310.0,,80.0,,,,,75.0,,Datos Alimentos Chaco 06
06-003189,AGUA DE MESA ENVASADA (BELLA),BELLA,AGUAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-003187,MAMóN EN ALMIBAR (ISLA DEL CERRITO- RINCON DEL PARANA),ISLA DEL CERRITO- RINCON DEL PARANA,CONFITURAS Y DULCES,g,329.03,,80.65,,,,,74.19,,Datos Alimentos Chaco 06
06-003186,PASTAS RELLENAS CONGELADOS AGNOLOTTIS DE VERDURA (PASTILETY),PASTILETY,PASTAS,g,226.0,6.0,43.0,3.0,0.0,,,0.9,881.0,Datos Alimentos Chaco 06
06-003185,PASTAS RELLENAS CONGELADAS AGNOLOTTIS DE POLLO (PASTILETY),PASTILETY,PASTAS,g,241.0,7.5,40.0,5.5,0.45,,,0.05,306.0,Datos Alimentos Chaco 06
06-003184,PASTAS RELLENAS CONGELADAS AGNOLOTTIS DE RICOTA (PASTILETY),PASTILETY,PASTAS,g,228.0,7.0,45.0,2.0,0.2,,,1.4,125.0,Datos Alimentos Chaco 06
06-003183,PASTAS RELLENAS CONGELADAS - AGNOLOTTIS DE JAMÓN Y QUESO (PASTILETY),PASTILETY,COMIDAS PREPARADAS,g,227.0,8.0,40.0,4.0,1.2,,,0.4,268.0,Datos Alimentos Chaco 06
06-003182,PASTAS RELLENAS CONGELADAS - AGNOLOTTIS DE CUATRO QUESOS (PASTILETY),PASTILETY,PASTAS,g,268.0,8.0,51.0,4.0,2.0,,,0.5,473.0,Datos Alimentos Chaco 06
06-003181,MASA PRECOCIDA PARA PIZZA (DZ DISTRIBUIDORA ZDERO),DZ DISTRIBUIDORA ZDERO,MASAS Y PANADERÍA,g,287.5,10.0,50.0,3.75,0.5,,,3.5,557.5,Datos Alimentos Chaco 06
